zinc_id,smiles,mw,logp,hbd,hba,rotatable_bonds,lipinski,chemistry_flagged,pains_alert,reactive_flags,hotspot_weighted_pct,hotspot_bits_matched,hotspot_exact_matches,hotspot_compatible_matches,hotspot_exact_residue_count,hotspot_group_count,hotspot_required_groups_pass,native_supported_hotspot_bits_matched,native_supported_hotspot_exact_matches,native_supported_hotspot_exact_residue_count,native_supported_hotspot_weighted_pct,pair_hash_overlap_pct,pair_hash_recall_pct,pair_hash_precision_pct,cascade_score_pct,shortlist_rank
ZINCf50000008UKt,CCCS(=O)(=O)NC(=O)CCC[N+](=O)[O-],238.26499999999993,-0.10070000000000001,1,5,7,1,0,,,32.8526496464382,10,7,3,7,3,1,1,1,1,7.932521475509632,9.655718453494252,5.508384562484193,39.078200087374405,15.45495125173024,1119
ZINCf50000035Krw,COC[C@@H](O)C(=O)NCc1ccncn1,211.221,-0.8999000000000006,2,5,5,1,0,,,26.221409534420943,9,4,5,4,2,1,0,0,0,0.0,11.861800347547831,6.992965857105156,39.05086386654751,15.451702644266108,1120
ZINCf5000002sRaj,Cc1ocnc1C(=O)NC[C@@H](CN)CO,213.23699999999997,-0.7199799999999992,3,5,5,1,0,,,27.848650358614552,9,5,4,5,3,1,0,0,0,0.0,11.318380193866679,6.682339015319279,36.96101916376306,15.450947735053647,1121
ZINCf50000009flS,CN(CCc1cnn[nH]1)[C@H]1CCNC1=O,209.253,-0.8324999999999994,2,4,4,1,0,,,28.216693496625318,10,5,5,5,3,1,1,1,1,7.932521475509632,11.195070746673718,6.67059074071727,34.796776352157345,15.450476434161617,1122
ZINCf50000035BtU,CNC[C@@H](O)CCNC(=O)c1cnns1,230.293,-0.7617000000000009,3,6,6,1,0,,,29.843934320818928,10,6,4,6,4,1,1,1,1,7.932521475509632,10.651586247424042,6.4613439988425405,30.304042022792014,15.449673265772763,1123
ZINCf500000360nG,NCCOCC(=O)Nc1ccc(N)cn1,210.237,-0.42240000000000055,3,5,5,1,0,,,27.536845599325844,9,4,5,4,2,1,0,0,0,0.0,11.418900020989659,6.728094475646879,37.710624647490135,15.448386415573706,1124
ZINCf5000000acKQ,Cn1nncc1CNC(=O)CSCCN,229.30899999999994,-0.8767999999999989,2,6,6,1,0,,,27.630006336628888,10,6,4,6,3,1,2,2,2,15.726841794277618,11.38291393040224,6.69939042295086,37.829176114890394,15.444687031958903,1125
ZINCf500000267Ag,CC[C@@H](NNC(=O)c1ccon1)C(N)=O,212.20899999999997,-0.8270999999999995,3,5,5,1,0,,,26.221409534420943,9,4,5,4,2,1,0,0,0,0.0,11.849017129476154,6.88438996782577,42.491319444444436,15.44211523071235,1126
ZINCf5000003ofuf,C[C@H](O)COC(=O)CCC(=O)NN(C)C,218.253,-0.716599999999999,2,5,6,1,0,,,25.646848488346297,10,5,5,5,3,1,2,2,2,15.726841794277618,12.040409971536505,7.206610064473956,36.568681826585305,15.442019600738954,1127
ZINCf50000009E2Y,CO[C@H](C)[C@@H](C)NC(=O)NCCC(N)=O,217.26899999999998,-0.41559999999999814,3,3,6,1,0,,,25.646848488346297,10,5,5,5,3,1,2,2,2,15.726841794277618,12.040282252766001,7.200340326981982,36.728600480680335,15.441923811661077,1128
