system,shortlist_fraction,n_native_scored,n_actives_retained,active_retention,compute_reduction,n_input,n_actives_input,n_candidates
MDM2-p53,0.01922992676819004,584,36,0.72,54.023972602739725,31550,50,30322
MDM2-p53,0.021036725437357306,638,36,0.72,49.45141065830721,31550,50,30322
MDM2-p53,0.023013286657898636,698,36,0.72,45.20057306590258,31550,50,30322
MDM2-p53,0.025175560919672622,764,36,0.72,41.295811518324605,31550,50,30322
MDM2-p53,0.027540997383031812,836,36,0.72,37.739234449760765,31550,50,30322
MDM2-p53,0.030128684690375863,914,36,0.72,34.518599562363235,31550,50,30322
MDM2-p53,0.03295950500802676,1000,36,0.72,31.55,31550,50,30322
MDM2-p53,0.036056302541516254,1094,37,0.74,28.839122486288847,31550,50,30322
MDM2-p53,0.03944406788417312,1197,38,0.76,26.357560568086885,31550,50,30322
MDM2-p53,0.043150139686669885,1309,38,0.76,24.10236822001528,31550,50,30322
MDM2-p53,0.04720442527496569,1432,38,0.76,22.032122905027933,31550,50,30322
MDM2-p53,0.05,1517,39,0.78,20.79762689518787,31550,50,30322
MDM2-p53,0.05163964199699178,1566,39,0.78,20.146871008939975,31550,50,30322
MDM2-p53,0.05649158124570375,1713,42,0.84,18.4179801517805,31550,50,30322
MDM2-p53,0.06179939728911861,1874,42,0.84,16.83564567769477,31550,50,30322
MDM2-p53,0.06760592323814218,2050,42,0.84,15.390243902439025,31550,50,30322
MDM2-p53,0.07395801670199038,2243,42,0.84,14.065983058403923,31550,50,30322
MDM2-p53,0.08090693792058029,2454,42,0.84,12.856560717196414,31550,50,30322
MDM2-p53,0.08850876342535115,2684,42,0.84,11.7548435171386,31550,50,30322
MDM2-p53,0.09682483856668235,2936,42,0.84,10.74591280653951,31550,50,30322
MDM2-p53,0.10592227255972307,3212,42,0.84,9.822540473225406,31550,50,30322
MDM2-p53,0.11587448004356327,3514,42,0.84,8.978372225384177,31550,50,30322
MDM2-p53,0.1267617735240295,3844,42,0.84,8.207596253902185,31550,50,30322
MDM2-p53,0.1386720114810124,4205,42,0.84,7.502972651605232,31550,50,30322
MDM2-p53,0.1517013073704331,4600,42,0.84,6.858695652173913,31550,50,30322
MDM2-p53,0.16595480524236655,5033,42,0.84,6.2686270613947945,31550,50,30322
MDM2-p53,0.1815475282344179,5505,42,0.84,5.731153496821071,31550,50,30322
MDM2-p53,0.19860530678754051,6023,42,0.84,5.238253362111904,31550,50,30322
MDM2-p53,0.21726579407482824,6588,42,0.84,4.789010321797207,31550,50,30322
